cat,esp,eng
inici,inicio,home
imprimir,imprimir,print
tornar,volver,back
establiment,establecimiento,establishment
restaurant,restaurante,restaurant
horari,horario,timetable
comentari,comentario,comment
data,fecha,date
cercar,buscar,search
població,población,town
adreça,dirección,address
telèfon,teléfono,telephone
correu electrònic,correo electrónico,email
destacat,destacat,highlighted
preu,precio,price
nom,nombre,name
descripció,descripción,description
contacte,contacto,contact
assumpte,asunto,subject
text,texto,text
publicar,publicar,publish
valorar,valorar,rate
anterior,anterior,previous
següent,siguiente,next
ver,veure,show
llegir més,leer más,read more
Darrers comentaris,Últimos comentarios,Recent comments
registre,registro,login
usuari,usuario,user
fotografies,fotografías,pictures
